Date,Hour,sellPriceIndex
2012-01-30,6,821.000
2012-01-30,7,952.000
2012-01-30,8,1006.000
2012-01-30,9,1032.000
2012-01-30,10,1079.000
2012-01-30,11,1007.000
2012-01-30,12,1039.000
2012-01-30,13,1049.000
2012-01-30,14,1024.000
2012-01-30,15,978.000
2012-01-30,16,983.000
2012-01-30,17,1004.000
2012-01-30,18,1015.000
2012-01-30,19,988.000
2012-01-30,20,958.000
2012-01-30,21,909.000
2012-01-30,22,878.000
2012-01-30,23,793.000
2012-01-31,0,750.000
2012-01-31,1,699.000
2012-01-31,2,681.000
2012-01-31,3,671.000
2012-01-31,4,728.000
2012-01-31,5,772.000
2012-01-31,6,852.000
2012-01-31,7,993.000
2012-01-31,8,1029.000
2012-01-31,9,1074.000
2012-01-31,10,1139.000
2012-01-31,11,1110.000
2012-01-31,12,1100.000
2012-01-31,13,1095.000
2012-01-31,14,1022.000
2012-01-31,15,994.000
2012-01-31,16,997.000
2012-01-31,17,1020.000
2012-01-31,18,1022.000
2012-01-31,19,1007.000
2012-01-31,20,976.000
2012-01-31,21,947.000
2012-01-31,22,895.000
2012-01-31,23,789.000
2012-02-01,0,750.000
2012-02-01,1,681.000
2012-02-01,2,651.000
2012-02-01,3,659.000
2012-02-01,4,697.000
2012-02-01,5,753.000
2012-02-01,6,845.000
2012-02-01,7,961.000
2012-02-01,8,1007.000
2012-02-01,9,1061.000
2012-02-01,10,1118.000
2012-02-01,11,1074.000
2012-02-01,12,1074.000
2012-02-01,13,1084.000
2012-02-01,14,1051.000
2012-02-01,15,994.000
2012-02-01,16,981.000
2012-02-01,17,1006.000
2012-02-01,18,1006.000
2012-02-01,19,997.000
2012-02-01,20,967.000
2012-02-01,21,935.000
2012-02-01,22,889.000
2012-02-01,23,826.000
2012-02-02,0,768.000
2012-02-02,1,703.000
2012-02-02,2,668.000
2012-02-02,3,662.000
2012-02-02,4,697.000
2012-02-02,5,751.000
2012-02-02,6,865.000
2012-02-02,7,960.000
2012-02-02,8,992.000
2012-02-02,9,1060.000
2012-02-02,10,1124.000
2012-02-02,11,1072.000
2012-02-02,12,1049.000
2012-02-02,13,1061.000
2012-02-02,14,1032.000
2012-02-02,15,999.000
2012-02-02,16,984.000
2012-02-02,17,994.000
2012-02-02,18,1004.000
2012-02-02,19,1023.000
2012-02-02,20,997.000
2012-02-02,21,960.000
2012-02-02,22,908.000
2012-02-02,23,798.000
2012-02-03,0,790.000
2012-02-03,1,751.000
2012-02-03,2,692.000
2012-02-03,3,716.000
2012-02-03,4,734.000
2012-02-03,5,795.000
2012-02-03,6,855.000
2012-02-03,7,974.000
2012-02-03,8,1093.000
2012-02-03,9,1137.000
2012-02-03,10,1208.000
2012-02-03,11,1140.000
2012-02-03,12,1112.000
2012-02-03,13,1130.000
2012-02-03,14,1123.000
2012-02-03,15,1111.000
2012-02-03,16,1082.000
2012-02-03,17,1120.000
2012-02-03,18,1115.000
2012-02-03,19,1117.000
2012-02-03,20,1090.000
2012-02-03,21,1054.000
2012-02-03,22,944.000
2012-02-03,23,841.000
2012-02-04,0,876.000
2012-02-04,1,850.000
2012-02-04,2,825.000
2012-02-04,3,815.000
2012-02-04,4,830.000
2012-02-04,5,862.000
2012-02-04,6,882.000
2012-02-04,7,931.000
2012-02-04,8,993.000
2012-02-04,9,1094.000
2012-02-04,10,1112.000
2012-02-04,11,1115.000
2012-02-04,12,1081.000
2012-02-04,13,1054.000
2012-02-04,14,1028.000
2012-02-04,15,1008.000
2012-02-04,16,1037.000
2012-02-04,17,1036.000
2012-02-04,18,1122.000
2012-02-04,19,1107.000
2012-02-04,20,1047.000
2012-02-04,21,1001.000
2012-02-04,22,976.000
2012-02-04,23,911.000
2012-02-05,0,786.000
2012-02-05,1,725.000
2012-02-05,2,670.000
2012-02-05,3,658.000
2012-02-05,4,678.000
2012-02-05,5,740.000
2012-02-05,6,717.000
2012-02-05,7,765.000
2012-02-05,8,850.000
2012-02-05,9,908.000
2012-02-05,10,924.000
2012-02-05,11,927.000
2012-02-05,12,923.000
2012-02-05,13,923.000
2012-02-05,14,927.000
2012-02-05,15,927.000
2012-02-05,16,922.000
2012-02-05,17,932.000
2012-02-05,18,973.000
2012-02-05,19,967.000
2012-02-05,20,940.000
2012-02-05,21,925.000
2012-02-05,22,908.000
2012-02-05,23,863.000
2012-02-06,0,777.000
2012-02-06,1,694.000
2012-02-06,2,651.000
2012-02-06,3,639.000
2012-02-06,4,686.000
2012-02-06,5,744.000
2012-02-06,6,840.000
2012-02-06,7,978.000
2012-02-06,8,1049.000
2012-02-06,9,1120.000
2012-02-06,10,1139.000
2012-02-06,11,1110.000
2012-02-06,12,1108.000
2012-02-06,13,1100.000
2012-02-06,14,1093.000
2012-02-06,15,1040.000
2012-02-06,16,993.000
2012-02-06,17,988.000
2012-02-06,18,999.000
2012-02-06,19,1016.000
2012-02-06,20,978.000
2012-02-06,21,931.000
2012-02-06,22,869.000
2012-02-06,23,786.000
2012-02-07,0,777.000
2012-02-07,1,716.000
2012-02-07,2,675.000
2012-02-07,3,676.000
2012-02-07,4,755.000
2012-02-07,5,810.000
2012-02-07,6,853.000
2012-02-07,7,953.000
2012-02-07,8,1022.000
2012-02-07,9,1087.000
2012-02-07,10,1120.000
2012-02-07,11,1085.000
2012-02-07,12,1080.000
2012-02-07,13,1073.000
2012-02-07,14,1070.000
2012-02-07,15,1053.000
2012-02-07,16,976.000
2012-02-07,17,978.000
2012-02-07,18,998.000
2012-02-07,19,1014.000
2012-02-07,20,983.000
2012-02-07,21,956.000
2012-02-07,22,885.000
2012-02-07,23,799.000
2012-02-08,0,736.000
2012-02-08,1,708.000
2012-02-08,2,675.000
2012-02-08,3,665.000
2012-02-08,4,706.000
2012-02-08,5,726.000
2012-02-08,6,853.000
2012-02-08,7,957.000
2012-02-08,8,997.000
2012-02-08,9,1034.000
2012-02-08,10,1087.000
2012-02-08,11,1021.000
2012-02-08,12,1028.000
2012-02-08,13,998.000
2012-02-08,14,996.000
2012-02-08,15,992.000
2012-02-08,16,967.000
2012-02-08,17,969.000
2012-02-08,18,972.000
2012-02-08,19,973.000
2012-02-08,20,952.000
2012-02-08,21,946.000
2012-02-08,22,868.000
2012-02-08,23,763.000
2012-02-09,0,692.000
2012-02-09,1,664.000
2012-02-09,2,648.000
2012-02-09,3,634.000
2012-02-09,4,647.000
2012-02-09,5,746.000
2012-02-09,6,865.000
2012-02-09,7,942.000
2012-02-09,8,987.000
2012-02-09,9,1031.000
2012-02-09,10,1066.000
2012-02-09,11,1017.000
2012-02-09,12,1014.000
2012-02-09,13,1004.000
2012-02-09,14,983.000
2012-02-09,15,968.000
2012-02-09,16,951.000
2012-02-09,17,952.000
2012-02-09,18,961.000
2012-02-09,19,961.000
2012-02-09,20,942.000
2012-02-09,21,925.000
2012-02-09,22,865.000
2012-02-09,23,776.000
2012-02-10,0,757.000
2012-02-10,1,704.000
2012-02-10,2,656.000
2012-02-10,3,651.000
2012-02-10,4,675.000
2012-02-10,5,809.000
2012-02-10,6,903.000
2012-02-10,7,973.000
2012-02-10,8,1023.000
2012-02-10,9,1073.000
2012-02-10,10,1081.000
2012-02-10,11,1063.000
2012-02-10,12,1064.000
2012-02-10,13,1050.000
2012-02-10,14,1038.000
2012-02-10,15,1026.000
2012-02-10,16,985.000
2012-02-10,17,985.000
2012-02-10,18,1000.000
2012-02-10,19,1010.000
2012-02-10,20,989.000
2012-02-10,21,973.000
2012-02-10,22,901.000
2012-02-10,23,798.000
2012-02-11,0,789.000
2012-02-11,1,756.000
2012-02-11,2,711.000
2012-02-11,3,697.000
2012-02-11,4,770.000
2012-02-11,5,829.000
2012-02-11,6,857.000
2012-02-11,7,923.000
2012-02-11,8,959.000
2012-02-11,9,981.000
2012-02-11,10,992.000
2012-02-11,11,978.000
2012-02-11,12,969.000
2012-02-11,13,965.000
2012-02-11,14,966.000
2012-02-11,15,960.000
2012-02-11,16,992.000
2012-02-11,17,997.000
2012-02-11,18,1014.000
2012-02-11,19,1006.000
2012-02-11,20,993.000
2012-02-11,21,979.000
2012-02-11,22,932.000
2012-02-11,23,846.000
2012-02-12,0,805.000
2012-02-12,1,761.000
2012-02-12,2,713.000
2012-02-12,3,699.000
2012-02-12,4,695.000
2012-02-12,5,762.000
2012-02-12,6,813.000
2012-02-12,7,850.000
2012-02-12,8,871.000
2012-02-12,9,937.000
2012-02-12,10,949.000
2012-02-12,11,949.000
2012-02-12,12,951.000
2012-02-12,13,949.000
2012-02-12,14,948.000
2012-02-12,15,948.000
2012-02-12,16,957.000
2012-02-12,17,969.000
2012-02-12,18,981.000
2012-02-12,19,986.000
2012-02-12,20,961.000
2012-02-12,21,952.000
2012-02-12,22,918.000
2012-02-12,23,831.000
2012-02-13,0,800.000
2012-02-13,1,732.000
2012-02-13,2,700.000
2012-02-13,3,681.000
2012-02-13,4,750.000
2012-02-13,5,832.000
2012-02-13,6,947.000
2012-02-13,7,1021.000
2012-02-13,8,1053.000
2012-02-13,9,1075.000
2012-02-13,10,1079.000
2012-02-13,11,1060.000
2012-02-13,12,1052.000
2012-02-13,13,1047.000
2012-02-13,14,1045.000
2012-02-13,15,1030.000
2012-02-13,16,999.000
2012-02-13,17,1009.000
2012-02-13,18,1021.000
2012-02-13,19,1026.000
2012-02-13,20,995.000
2012-02-13,21,981.000
2012-02-13,22,934.000
2012-02-13,23,813.000
2012-02-14,0,729.000
2012-02-14,1,678.000
2012-02-14,2,646.000
2012-02-14,3,644.000
