Date,Hour,sellFullPlannedVolume
2012-01-17,15,104674.852
2012-01-17,16,104967.281
2012-01-17,17,106266.625
2012-01-17,18,107218.273
2012-01-17,19,106398.922
2012-01-17,20,103933.414
2012-01-17,21,101888.242
2012-01-17,22,97997.500
2012-01-17,23,93673.656
2012-01-18,0,90479.195
2012-01-18,1,88075.180
2012-01-18,2,87308.250
2012-01-18,3,87818.422
2012-01-18,4,89080.133
2012-01-18,5,90836.266
2012-01-18,6,95670.336
2012-01-18,7,101063.055
2012-01-18,8,105369.055
2012-01-18,9,107289.539
2012-01-18,10,106872.578
2012-01-18,11,105741.469
2012-01-18,12,105906.211
2012-01-18,13,106465.078
2012-01-18,14,106287.367
2012-01-18,15,105523.500
2012-01-18,16,105892.953
2012-01-18,17,107036.992
2012-01-18,18,108177.867
2012-01-18,19,107091.031
2012-01-18,20,104732.188
2012-01-18,21,102907.938
2012-01-18,22,99023.039
2012-01-18,23,94253.078
2012-01-19,0,91051.094
2012-01-19,1,89116.820
2012-01-19,2,88244.453
2012-01-19,3,88097.750
2012-01-19,4,89695.305
2012-01-19,5,91804.844
2012-01-19,6,96914.773
2012-01-19,7,101865.953
2012-01-19,8,106097.633
2012-01-19,9,107779.516
2012-01-19,10,107247.422
2012-01-19,11,106003.320
2012-01-19,12,106189.273
2012-01-19,13,106689.828
2012-01-19,14,106453.820
2012-01-19,15,105652.641
2012-01-19,16,105968.617
2012-01-19,17,107279.734
2012-01-19,18,108638.406
2012-01-19,19,107810.523
2012-01-19,20,105483.352
2012-01-19,21,103408.359
2012-01-19,22,99482.539
2012-01-19,23,94838.164
2012-01-20,0,91717.789
2012-01-20,1,89484.602
2012-01-20,2,88823.734
2012-01-20,3,88668.414
2012-01-20,4,89849.047
2012-01-20,5,91893.930
2012-01-20,6,96880.680
2012-01-20,7,102032.062
2012-01-20,8,106279.656
2012-01-20,9,108001.281
2012-01-20,10,107497.328
2012-01-20,11,105968.406
2012-01-20,12,105705.008
2012-01-20,13,106136.883
2012-01-20,14,105924.531
2012-01-20,15,105403.133
2012-01-20,16,105557.836
2012-01-20,17,106926.297
2012-01-20,18,108342.172
2012-01-20,19,107462.273
2012-01-20,20,105232.078
2012-01-20,21,103064.844
2012-01-20,22,99306.594
2012-01-20,23,94533.125
2012-01-21,0,93603.000
2012-01-21,1,90731.531
2012-01-21,2,89092.078
2012-01-21,3,89008.758
2012-01-21,4,89430.352
2012-01-21,5,90044.438
2012-01-21,6,92477.297
2012-01-21,7,95472.227
2012-01-21,8,98375.055
2012-01-21,9,100223.562
2012-01-21,10,100944.414
2012-01-21,11,100990.047
2012-01-21,12,100272.078
2012-01-21,13,100152.242
2012-01-21,14,100599.594
2012-01-21,15,101336.008
2012-01-21,16,102738.828
2012-01-21,17,105126.602
2012-01-21,18,106355.234
2012-01-21,19,105961.031
2012-01-21,20,103945.859
2012-01-21,21,101763.688
2012-01-21,22,98500.117
2012-01-21,23,94463.711
2012-01-22,0,90568.312
2012-01-22,1,89135.969
2012-01-22,2,87654.414
2012-01-22,3,87299.227
2012-01-22,4,87878.203
2012-01-22,5,89281.930
2012-01-22,6,90492.008
2012-01-22,7,92429.602
2012-01-22,8,94918.172
2012-01-22,9,97010.852
2012-01-22,10,98233.281
2012-01-22,11,98740.055
2012-01-22,12,98650.281
2012-01-22,13,98757.164
2012-01-22,14,99462.328
2012-01-22,15,100196.438
2012-01-22,16,101950.969
2012-01-22,17,104589.328
2012-01-22,18,106292.094
2012-01-22,19,106136.180
2012-01-22,20,104204.180
2012-01-22,21,101675.727
2012-01-22,22,98105.305
2012-01-22,23,94107.062
2012-01-23,0,92000.945
2012-01-23,1,89822.992
2012-01-23,2,88766.828
2012-01-23,3,89123.102
2012-01-23,4,90688.031
2012-01-23,5,92825.148
2012-01-23,6,98188.453
2012-01-23,7,103261.945
2012-01-23,8,107758.055
2012-01-23,9,109616.000
2012-01-23,10,109319.859
2012-01-23,11,108172.688
2012-01-23,12,107912.422
2012-01-23,13,108156.188
2012-01-23,14,108058.273
2012-01-23,15,107424.742
2012-01-23,16,107573.945
2012-01-23,17,108754.500
2012-01-23,18,110183.844
2012-01-23,19,109510.664
2012-01-23,20,106990.242
2012-01-23,21,104881.742
2012-01-23,22,100832.930
2012-01-23,23,96324.016
2012-01-24,0,93308.672
2012-01-24,1,91132.586
2012-01-24,2,90206.578
2012-01-24,3,90832.125
2012-01-24,4,92476.508
2012-01-24,5,94585.945
2012-01-24,6,99901.812
2012-01-24,7,104691.078
2012-01-24,8,109154.641
2012-01-24,9,110886.289
2012-01-24,10,110376.055
2012-01-24,11,109214.008
2012-01-24,12,109343.383
2012-01-24,13,109492.258
2012-01-24,14,109521.664
2012-01-24,15,108506.516
2012-01-24,16,108620.578
2012-01-24,17,109626.531
2012-01-24,18,111202.297
2012-01-24,19,110530.641
2012-01-24,20,108015.578
2012-01-24,21,105841.977
2012-01-24,22,101785.242
2012-01-24,23,97174.961
2012-01-25,0,95784.273
2012-01-25,1,93061.680
2012-01-25,2,92165.352
2012-01-25,3,92930.211
2012-01-25,4,94655.812
2012-01-25,5,96437.469
2012-01-25,6,101559.656
2012-01-25,7,107123.258
2012-01-25,8,111408.023
2012-01-25,9,113482.141
2012-01-25,10,113009.109
2012-01-25,11,111886.633
2012-01-25,12,111863.281
2012-01-25,13,112219.625
2012-01-25,14,112262.992
2012-01-25,15,111185.508
2012-01-25,16,111163.172
2012-01-25,17,112052.180
2012-01-25,18,113827.594
2012-01-25,19,113319.336
2012-01-25,20,110641.492
2012-01-25,21,108403.055
2012-01-25,22,104318.883
2012-01-25,23,99128.922
2012-01-26,0,96685.211
2012-01-26,1,94493.180
2012-01-26,2,93461.625
2012-01-26,3,93984.328
2012-01-26,4,95560.391
2012-01-26,5,97360.375
2012-01-26,6,102457.102
2012-01-26,7,107689.383
2012-01-26,8,112403.188
2012-01-26,9,114146.805
2012-01-26,10,113498.891
2012-01-26,11,112071.781
2012-01-26,12,112092.719
2012-01-26,13,112329.281
2012-01-26,14,112313.391
2012-01-26,15,111025.188
2012-01-26,16,110902.852
2012-01-26,17,111953.930
2012-01-26,18,113687.188
2012-01-26,19,113594.117
2012-01-26,20,111100.617
2012-01-26,21,109075.359
2012-01-26,22,104930.453
2012-01-26,23,100065.547
2012-01-27,0,97398.086
2012-01-27,1,94875.508
2012-01-27,2,93918.688
2012-01-27,3,94306.320
2012-01-27,4,95937.453
2012-01-27,5,97881.773
2012-01-27,6,102876.273
2012-01-27,7,108264.602
2012-01-27,8,112882.664
2012-01-27,9,114745.477
2012-01-27,10,114182.969
2012-01-27,11,112744.625
2012-01-27,12,112774.297
2012-01-27,13,112616.906
2012-01-27,14,112302.359
2012-01-27,15,110976.867
2012-01-27,16,110683.109
2012-01-27,17,111854.844
2012-01-27,18,113738.297
2012-01-27,19,113313.133
2012-01-27,20,110871.281
2012-01-27,21,109100.273
2012-01-27,22,105046.164
2012-01-27,23,100263.945
2012-01-28,0,98130.852
2012-01-28,1,95427.023
2012-01-28,2,93940.758
2012-01-28,3,93888.445
2012-01-28,4,94396.188
2012-01-28,5,94807.078
2012-01-28,6,98088.273
2012-01-28,7,101239.344
2012-01-28,8,104642.430
2012-01-28,9,106581.508
2012-01-28,10,107427.523
2012-01-28,11,107296.297
2012-01-28,12,106783.250
2012-01-28,13,106254.555
2012-01-28,14,106305.086
2012-01-28,15,106754.656
2012-01-28,16,107677.195
2012-01-28,17,109921.125
2012-01-28,18,111878.094
2012-01-28,19,111481.023
2012-01-28,20,109495.094
2012-01-28,21,106874.438
2012-01-28,22,103307.945
2012-01-28,23,99582.703
2012-01-29,0,96359.266
2012-01-29,1,94447.750
2012-01-29,2,93251.922
2012-01-29,3,92788.234
2012-01-29,4,93168.852
2012-01-29,5,94476.109
2012-01-29,6,95696.875
2012-01-29,7,98232.273
2012-01-29,8,100376.852
2012-01-29,9,102693.891
2012-01-29,10,104304.961
2012-01-29,11,104893.547
2012-01-29,12,104974.609
2012-01-29,13,104847.047
2012-01-29,14,105208.898
2012-01-29,15,105593.609
2012-01-29,16,106870.375
2012-01-29,17,109620.312
2012-01-29,18,112295.531
2012-01-29,19,112474.117
2012-01-29,20,110568.695
2012-01-29,21,107606.883
2012-01-29,22,103589.609
2012-01-29,23,99639.812
